TEAM_NAME,WORLD_RANKING,WC_PARTICIPATIONS,SQUAD_SIZE,AVG_AGE,TOTAL_VALUE_MILLIONS,CONFEDERATION,Fifa_Rating_Points,Home_Advantage,Elo_Ratings,World Cup Titles,Best_Result,Total_Major_Trophies,Coach_Experience_Score,Key_Player_Total_Goals_2025,Total_Matches,Home,Away,Wins,Losses,Draws,Goals_For,Goals_Against,AVG_Points_LAST_10_MATCH
Mexico,15,17,26,26.4,181500000,CONCACAF,1676,1,1835,0,Quarter-finals,12,5,27,1022,294,271,529,258,235,1814,1054,1.9
South Africa,61,3,28,26.3,44450000,CAF,1427,0,1551,0,Group stage,1,4,14,521,273,161,231,139,151,716,537,2.1
Korea Republic,22,10,26,27.5,118800000,AFC,1599,0,1784,0,Fourth place,2,3,22,1051,354,254,574,219,258,1916,962,2.4
Czech Republic,44,9,22,26.9,115900000,UEFA,1487,0,1731,0,Runners-up,1,3,26,880,358,416,424,261,195,1620,1093,1.6
Canada,27,2,24,26.1,126430000,CONCACAF,1559,1,1802,0,Group stage,2,3,34,482,147,200,189,182,111,622,611,1.8
Italy,12,18,26,27.2,827000000,UEFA,1702,0,1859,4,Champions,6,4,27,900,406,323,479,177,244,1578,893,2
Qatar,54,1,23,27.7,18000000,AFC,1455,0,1427,0,Group stage,2,5,21,693,324,146,287,232,174,988,822,1.4
Switzerland,17,12,25,27.4,251000000,UEFA,1655,0,1897,0,Quarter-finals,0,4,13,892,423,391,318,372,202,1331,1478,1.7
Brazil,5,22,26,27.7,932000000,CONMEBOL,1760,0,1979,5,Champions,20,5,39,1062,371,346,669,170,223,2289,949,2.2
Morocco,11,6,28,27.3,435850000,CAF,1716,0,1841,0,Fourth place,2,4,31,724,313,218,360,164,200,1091,610,2.7
Haiti,84,1,28,27.5,38750000,CONCACAF,1294,0,1542,0,Group stage,1,2,19,559,181,196,246,196,117,956,757,2.6
Scotland,36,7,25,29,211450000,UEFA,1507,0,1790,0,Group stage,0,3,12,864,401,412,410,266,188,1488,1071,1.4
United States,14,11,24,25.9,169700000,CONCACAF,1682,1,1747,0,Third place,7,3,26,823,485,253,366,284,173,1244,1066,1.7
Paraguay,39,8,31,28.3,122950000,CONMEBOL,1502,0,1832,0,Quarter-finals,2,4,11,787,214,365,276,302,209,1002,1113,1.9
Australia,26,6,25,27.5,31480000,AFC,1574,0,1774,0,Round of 16,5,2,13,633,269,223,324,179,130,1283,713,1.5
Turkey,25,2,33,26.9,508200000,UEFA,1583,0,1880,0,Third place,0,3,21,667,289,299,261,250,156,945,969,1.8
Germany,9,10,24,26.6,828000000,UEFA,1724,0,1910,4,Champions,8,4,31,1043,468,414,602,224,217,2346,1228,2.3
Curaçao,82,0,26,26.4,25180000,CONCACAF,1303,0,1467,0,Debut,0,5,9,496,173,175,201,171,124,878,760,1.7
Ivory Coast,42,3,27,26.5,370800000,CAF,1490,0,1627,0,Group stage,3,3,16,688,241,237,345,165,178,1120,692,2
