Group,TEAM_NAME,Pts
A,Mexico,0
A,South Africa,0
A,Korea Republic,0
A,Czech Republic,0
B,Canada,0
B,Italy,0
B,Qatar,0
B,Switzerland,0
C,Brazil,0
C,Morocco,0
C,Haiti,0
C,Scotland,0
D,United States,0
D,Paraguay,0
D,Australia,0
D,Turkey,0
E,Germany,0
E,Curaçao,0
E,Ivory Coast,0
E,Ecuador,0
F,Netherlands,0
F,Japan,0
F,Sweden,0
F,Tunisia,0
G,Belgium,0
G,Egypt,0
G,Iran,0
G,New Zealand,0
H,Spain,0
H,Cape Verde,0
H,Saudi Arabia,0
H,Uruguay,0
I,France,0
I,Senegal,0
I,Iraq,0
I,Norway,0
J,Argentina,0
J,Algeria,0
J,Austria,0
J,Jordan,0
K,Portugal,0
K,Jamaica,0
K,Uzbekistan,0
K,Colombia,0
L,England,0
L,Croatia,0
L,Ghana,0
L,Panama,0
